Rank,TZ,DAIO,Yr,mvts
Base,Armenia,I,2007,12
Base,Armenia,I,2008,4
Base,Armenia,I,2009,7
Base,Armenia,I,2010,14
Base,Armenia,I,2011,12
Base,Armenia,I,2012,13
Base,Armenia,I,2013,8
Base,Armenia,I,2014,9
Base,Armenia,I,2015,6
Base,Armenia,I,2016,4
Base,Armenia,I,2017,5
Base,Armenia,I,2018,6
Base,Armenia,I,2019,8
Base,Armenia,I,2020,7
Base,Armenia,I,2021,10
Base,Armenia,I,2022,12
Base,Armenia,I,2023,14.60116405
Base,Armenia,I,2024,14.13218586
Base,Armenia,I,2025,14.10019086
Base,Armenia,I,2026,14.10019086
Base,Armenia,I,2027,14.10019086
Base,Armenia,I,2028,14.13218586
Base,Armenia,I,2029,14.10019086
Base,Armenia,TI,2006,2
Base,Armenia,TI,2007,12
Base,Armenia,TI,2008,4
Base,Armenia,TI,2009,7
Base,Armenia,TI,2010,14
Base,Armenia,TI,2011,12
Base,Armenia,TI,2012,13
Base,Armenia,TI,2013,8
Base,Armenia,TI,2014,9
Base,Armenia,TI,2015,6
Base,Armenia,TI,2016,4
Base,Armenia,TI,2017,5
Base,Armenia,TI,2018,6
Base,Armenia,TI,2019,8
Base,Armenia,TI,2020,7
Base,Armenia,TI,2021,10
Base,Armenia,TI,2022,12
Base,Armenia,TI,2023,14.60116405
Base,Armenia,TI,2024,14.13218586
Base,Armenia,TI,2025,14.10019086
Base,Armenia,TI,2026,14.10019086
Base,Armenia,TI,2027,14.10019086
Base,Armenia,TI,2028,14.13218586
Base,Armenia,TI,2029,14.10019086
Base,Armenia,AD,2005,4104
Base,Armenia,AD,2006,5311
Base,Armenia,AD,2007,17218
Base,Armenia,AD,2008,18457
Base,Armenia,AD,2009,19001
Base,Armenia,AD,2010,21503
Base,Armenia,AD,2011,21271
Base,Armenia,AD,2012,21696
Base,Armenia,AD,2013,18730
Base,Armenia,AD,2014,21708
Base,Armenia,AD,2015,18904
Base,Armenia,AD,2016,18716
Base,Armenia,AD,2017,22304
Base,Armenia,AD,2018,24192
Base,Armenia,AD,2019,26574
Base,Armenia,AD,2020,9756
Base,Armenia,AD,2021,20683
Base,Armenia,AD,2022,35172
Base,Armenia,AD,2023,42491.54048
Base,Armenia,AD,2024,43281.4341
Base,Armenia,AD,2025,45315.00914
Base,Armenia,AD,2026,47414.60078
Base,Armenia,AD,2027,49443.41544
Base,Armenia,AD,2028,51420.25492
Base,Armenia,AD,2029,52867.46471
Base,Armenia,TAD,2005,4104
Base,Armenia,TAD,2006,5311
Base,Armenia,TAD,2007,17218
Base,Armenia,TAD,2008,18457
Base,Armenia,TAD,2009,19001
Base,Armenia,TAD,2010,21503
Base,Armenia,TAD,2011,21271
Base,Armenia,TAD,2012,21696
Base,Armenia,TAD,2013,18730
Base,Armenia,TAD,2014,21708
Base,Armenia,TAD,2015,18904
Base,Armenia,TAD,2016,18716
Base,Armenia,TAD,2017,22304
Base,Armenia,TAD,2018,24192
Base,Armenia,TAD,2019,26574
Base,Armenia,TAD,2020,9756
Base,Armenia,TAD,2021,20683
Base,Armenia,TAD,2022,35172
Base,Armenia,TAD,2023,42491.54048
Base,Armenia,TAD,2024,43281.4341
Base,Armenia,TAD,2025,45315.00914
Base,Armenia,TAD,2026,47414.60078
Base,Armenia,TAD,2027,49443.41544
Base,Armenia,TAD,2028,51420.25492
Base,Armenia,TAD,2029,52867.46471
Base,Armenia,O,2005,26702
Base,Armenia,O,2006,27607
Base,Armenia,O,2007,30780
Base,Armenia,O,2008,33409
Base,Armenia,O,2009,29382
Base,Armenia,O,2010,31357
Base,Armenia,O,2011,35881
Base,Armenia,O,2012,34301
Base,Armenia,O,2013,33564
Base,Armenia,O,2014,28814
Base,Armenia,O,2015,23272
Base,Armenia,O,2016,20258
Base,Armenia,O,2017,32220
Base,Armenia,O,2018,43651
Base,Armenia,O,2019,40353
Base,Armenia,O,2020,10878
Base,Armenia,O,2021,13786
Base,Armenia,O,2022,43743
Base,Armenia,O,2023,41505.52313
Base,Armenia,O,2024,49220.52798
Base,Armenia,O,2025,50702.13627
Base,Armenia,O,2026,52220.77149
Base,Armenia,O,2027,53760.32389
Base,Armenia,O,2028,55462.65006
