country,scenario,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
ECAC,Base,"11,085","4,979","6,231","9,238","10,272","10,905","11,146","11,330","11,490","11,661","11,771"
ECAC,Low,,,,,"10,122","10,576","10,627","10,621","10,597","10,621","10,591"
NM Area,High,,,,,"10,477","11,050","11,462","11,843","12,205","12,521","12,768"
NM Area,Base,"11,106","4,985","6,241","9,253","10,330","10,786","11,024","11,206","11,363","11,532","11,640"
NM Area,Low,,,,,"10,180","10,482","10,531","10,523","10,497","10,519","10,488"
ESRA08,High,,,,,"10,204","10,941","11,343","11,714","12,065","12,371","12,608"
ESRA08,Base,"10,860","4,869","6,074","9,056","10,061","10,679","10,913","11,091","11,245","11,410","11,515"
ESRA08,Low,,,,,"9,916","10,364","10,413","10,405","10,380","10,402","10,371"
EU27,High,,,,,"9,119","9,802","10,175","10,516","10,837","11,114","11,325"
EU27,Base,"9,711","4,237","5,263","8,077","8,987","9,563","9,784","9,949","10,091","10,239","10,332"
EU27,Low,,,,,"8,855","9,276","9,329","9,327","9,307","9,327","9,299"
SES-RP2,High,,,,,"9,696","10,397","10,774","11,118","11,442","11,722","11,933"
SES-RP2,Base,"10,335","4,609","5,677","8,607","9,559","10,149","10,368","10,532","10,672","10,819","10,909"
SES-RP2,Low,,,,,"9,421","9,851","9,897","9,887","9,860","9,874","9,838"
SES-RP3,High,,,,,"9,396","10,082","10,455","10,795","11,116","11,393","11,602"
SES-RP3,Base,"9,985","4,456","5,499","8,345","9,262","9,839","10,056","10,218","10,357","10,503","10,592"
SES-RP3,Low,,,,,"9,127","9,546","9,593","9,584","9,558","9,573","9,538"
BLUE MED FAB,High,,,,,"2,827","3,047","3,183","3,308","3,431","3,539","3,629"
BLUE MED FAB,Base,"2,763","1,125","1,618","2,513","2,780","2,959","3,030","3,081","3,128","3,179","3,212"
BLUE MED FAB,Low,,,,,"2,733","2,854","2,861","2,849","2,833","2,835","2,823"
Baltic FAB,High,,,,,758,825,863,899,933,964,989
Baltic FAB,Base,"1,026",434,532,687,744,802,823,841,856,873,884
Baltic FAB,Low,,,,,731,776,782,784,783,787,787
DK-SE FAB,High,,,,,941,"1,035","1,073","1,108","1,139","1,167","1,189"
DK-SE FAB,Base,"1,075",448,492,815,927,"1,012","1,031","1,048","1,061","1,075","1,083"
DK-SE FAB,Low,,,,,912,983,986,985,982,983,979
Danube FAB,High,,,,,"1,116","1,214","1,262","1,310","1,357","1,400","1,437"
Danube FAB,Base,"1,060",459,634,974,"1,099","1,184","1,213","1,235","1,255","1,278","1,293"
Danube FAB,Low,,,,,"1,082","1,151","1,158","1,158","1,156","1,159","1,158"
FAB CE,High,,,,,"2,384","2,595","2,696","2,791","2,880","2,956","3,019"
FAB CE,Base,"2,394",982,"1,271","2,099","2,347","2,529","2,591","2,636","2,675","2,717","2,745"
